combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
mnli+qnli+squad_v2,0.3161764705882353,0.5281345565749236,0.5270758122743683,0.48609779482262705,0.75,0.4858889934148636,0.454869362147737,0.8377659574468085,0.800187617260788,0.6608910891089109,0.27,0.035908596300326445
mnli+qnli+sst2,0.32598039215686275,0.4730886850152905,0.5270758122743683,0.5570469798657718,0.7857142857142857,0.5385700846660395,0.5375301074189063,0.8962765957446809,0.8911819887429644,0.6476897689768977,0.53,0.3906420021762786
mnli+qnli+winogrande,0.3161764705882353,0.5149847094801223,0.5270758122743683,0.5378715244487057,0.8035714285714286,0.44543744120413925,0.4927133063765952,0.848404255319149,0.7626641651031895,0.6745049504950495,0.52,0.3748639825897715
mnli+qqp+anli_r1,0.3161764705882353,0.46085626911314986,0.7870036101083032,0.6040268456375839,0.7857142857142857,0.8555973659454374,0.4602396365393705,0.8031914893617021,0.7814258911819888,0.5752887788778878,0.1,0.12459194776931447
mnli+qqp+hellaswag,0.3161764705882353,0.42752293577981654,0.7075812274368231,0.6251198465963567,0.6607142857142857,0.808560677328316,0.46545641482187367,0.7898936170212766,0.7851782363977486,0.5932343234323433,0.37,0.4009793253536453
mnli+qqp+imdb,0.3161764705882353,0.3798165137614679,0.7220216606498195,0.6375838926174496,0.6071428571428571,0.7812793979303857,0.5017747492350911,0.8696808510638298,0.8639774859287055,0.5831270627062707,0.21,0.28890097932535364
mnli+qqp+paws,0.3161764705882353,0.5250764525993884,0.6931407942238267,0.5743048897411314,0.6607142857142857,0.7883349012229539,0.48258666908479414,0.8351063829787234,0.7889305816135085,0.6225247524752475,0.05,0.035908596300326445
mnli+qqp+record,0.3161764705882353,0.44434250764525995,0.7328519855595668,0.6011505273250239,0.5892857142857143,0.8203198494825964,0.4521820937547232,0.7952127659574468,0.7842401500938087,0.6111798679867987,0.22,0.04842219804134929
mnli+qqp+snli,0.3161764705882353,0.4892966360856269,0.6245487364620939,0.588686481303931,0.8214285714285714,0.8104421448730009,0.31423195997155184,0.6382978723404256,0.36679174484052535,0.6229372937293729,0.39,0.05821545157780196
mnli+qqp+squad_v2,0.3161764705882353,0.4929663608562691,0.7256317689530686,0.5119846596356663,0.6785714285714286,0.7991533396048918,0.43957372511787357,0.7819148936170213,0.7636022514071295,0.6047854785478548,0.17,0.03427638737758433
mnli+qqp+sst2,0.3161764705882353,0.42660550458715596,0.703971119133574,0.6030680728667306,0.5892857142857143,0.7892756349952963,0.5117453531177115,0.8696808510638298,0.8808630393996247,0.5835396039603961,0.28,0.21980413492927095
mnli+qqp+winogrande,0.3161764705882353,0.3785932721712538,0.7292418772563177,0.5685522531160115,0.6607142857142857,0.8076199435559737,0.47064873367515664,0.7978723404255319,0.7711069418386491,0.595503300330033,0.24,0.20565832426550598
mnli+record+anli_r1,0.5122549019607843,0.5590214067278287,0.5595667870036101,0.6318312559923298,0.7321428571428571,0.8245531514581373,0.27883992333116986,0.8085106382978723,0.7926829268292683,0.6730610561056105,0.19,0.029923830250272034
mnli+record+hellaswag,0.5759803921568627,0.6155963302752293,0.5270758122743683,0.6327900287631831,0.7321428571428571,0.8269049858889934,0.3200847436836842,0.8696808510638298,0.8292682926829268,0.683993399339934,0.66,0.4515778019586507
mnli+record+imdb,0.6299019607843137,0.5039755351681957,0.5270758122743683,0.6510067114093959,0.6071428571428571,0.8264346190028222,0.4098125019545593,0.898936170212766,0.8761726078799249,0.6229372937293729,0.53,0.25081610446137104
mnli+record+paws,0.5465686274509803,0.6483180428134556,0.5270758122743683,0.5560882070949185,0.7321428571428571,0.8344308560677328,0.2948898456344078,0.8537234042553191,0.7120075046904315,0.741542904290429,0.04,0.002176278563656148
mnli+record+snli,0.35784313725490197,0.5984709480122324,0.5270758122743683,0.2080536912751678,0.8571428571428571,0.8080903104421449,0.283693423081967,0.3696808510638298,0.0375234521575985,0.6860561056105611,0.03,0.0
mnli+record+squad_v2,0.6127450980392157,0.617125382262997,0.5270758122743683,0.5033557046979866,0.7321428571428571,0.8306679209783632,0.2949991494961801,0.848404255319149,0.8264540337711069,0.6749174917491749,0.08,0.004352557127312296
mnli+record+winogrande,0.6274509803921569,0.599388379204893,0.5270758122743683,0.5541706615532119,0.7321428571428571,0.8264346190028222,0.3734477473774344,0.8590425531914894,0.8386491557223265,0.6887376237623762,0.55,0.12568008705114256
mnli+snli+anli_r1,0.37254901960784315,0.5975535168195719,0.5270758122743683,0.5743048897411314,0.7857142857142857,0.8005644402634055,0.2442584806680847,0.6196808510638298,0.28236397748592873,0.6846122112211221,0.06,0.006528835690968444
mnli+snli+hellaswag,0.35294117647058826,0.5889908256880734,0.5270758122743683,0.3144774688398849,0.8214285714285714,0.8113828786453434,0.2671657493564662,0.36436170212765956,0.0675422138836773,0.6775990099009901,0.38,0.03808487486398259
