combo,mrpc,boolq,rte,cola,cb,scitail,cr,rotten_tomatoes,multirc,copa,piqa
mnli+qnli+qqp+anli_r1+hellaswag+winogrande,0.3161764705882353,0.43761467889908257,0.8231046931407943,0.573346116970278,0.5357142857142857,0.6326434619002822,0.8218085106382979,0.8020637898686679,0.6367574257425742,0.47,0.4581066376496192
mnli+qnli+qqp+anli_r1+imdb+hellaswag,0.3161764705882353,0.3553516819571865,0.8050541516245487,0.638542665388303,0.5178571428571429,0.687206020696143,0.8723404255319149,0.8592870544090057,0.6316006600660066,0.5,0.4880304678998912
mnli+qnli+qqp+anli_r1+imdb+winogrande,0.3161764705882353,0.3532110091743119,0.8086642599277978,0.6021093000958773,0.5178571428571429,0.6984948259642522,0.8696808510638298,0.8574108818011257,0.6324257425742574,0.43,0.4020674646354733
mnli+qnli+qqp+anli_r1+paws+hellaswag,0.3161764705882353,0.4932721712538226,0.8086642599277978,0.5704697986577181,0.5178571428571429,0.6933207902163687,0.7925531914893617,0.7954971857410882,0.6524339933993399,0.25,0.3106637649619151
mnli+qnli+qqp+anli_r1+paws+imdb,0.3161764705882353,0.4746177370030581,0.8014440433212996,0.5790987535953979,0.4642857142857143,0.7544684854186265,0.8617021276595744,0.850844277673546,0.6468646864686468,0.27,0.235038084874864
mnli+qnli+qqp+anli_r1+paws+winogrande,0.3161764705882353,0.4920489296636086,0.8086642599277978,0.5474592521572388,0.5178571428571429,0.7130761994355598,0.8111702127659575,0.7889305816135085,0.6491336633663366,0.21,0.17519042437431992
mnli+qnli+qqp+imdb+hellaswag+winogrande,0.3161764705882353,0.37951070336391435,0.7292418772563177,0.5982742090124641,0.42857142857142855,0.6528692380056444,0.8962765957446809,0.8686679174484052,0.6260313531353136,0.6,0.5212187159956474
mnli+qnli+qqp+paws+hellaswag+winogrande,0.3161764705882353,0.4957186544342508,0.7111913357400722,0.48322147651006714,0.44642857142857145,0.6467544684854186,0.8617021276595744,0.8330206378986866,0.656559405940594,0.44,0.3601741022850925
mnli+qnli+qqp+paws+imdb+hellaswag,0.3161764705882353,0.48623853211009177,0.703971119133574,0.6049856184084372,0.4107142857142857,0.7144873000940734,0.8882978723404256,0.8724202626641651,0.6505775577557755,0.47,0.41947769314472255
mnli+qnli+qqp+paws+imdb+winogrande,0.3161764705882353,0.4804281345565749,0.7003610108303249,0.576222435282838,0.39285714285714285,0.7253057384760113,0.8936170212765957,0.8686679174484052,0.6476897689768977,0.4,0.28618063112078346
